aonly_AA	aonly_DA	
444.45	103
410.43	126
396.42	132.01
321.41	165.01
320.4	198.02
248.39	183.02
232.37	142.02
180.36	99.029
173.35	52.033
127.34	42.038
116.33	37.042
86.315	53.046
80.303	3.0508
63.291	2.0552
62.279	-0.94042
46.267	24.064
67.747	38.897
75.735	98.901
85.723	52.905
96.711	11.91
111.7	25.914
124.69	53.919
145.67	101.92
173.66	85.927
204.65	65.932
232.64	78.936
264.63	80.941
321.61	100.94
356.6	131.95
404.59	126.95
455.58	126.96
526.57	133.96
554.55	134.97
611.54	147.97
617.53	166.98
655.52	228.98
696.51	283.98
686.49	250.99
677.48	223.99
655.47	239
635.46	245
584.45	184.01
537.43	166.01
529.42	163.02
419.41	176.02
370.4	185.02
317.39	169.03
294.37	124.03
225.36	60.037
212.35	66.041
159.34	84.046
146.33	64.05
101.31	31.054
98.303	22.059
75.291	25.063
69.279	25.068
55.267	44.072
81.747	86.905
92.735	119.91
107.72	58.914
122.71	0.91791
140.7	32.922
160.69	85.927
185.68	116.93
226.66	110.94
272.65	126.94
306.64	93.944
360.63	123.95
436.61	162.95
489.6	213.96
557.59	238.96
638.58	260.97
731.57	215.97
781.55	228.97
835.54	248.98
851.53	269.98
915.52	283.99
983.51	325.99
966.49	355
950.48	369
916.47	310.01
884.46	267.01
811.45	287.01
743.43	236.02
733.42	202.02
575.41	185.03
527.4	192.03
422.39	207.04
392.37	158.04
287.36	112.05
270.35	124.05
200.34	137.05
183.33	81.058
126.31	42.063
118.3	40.067
88.291	34.071
80.279	58.076
64.267	69.08
104.75	69.913
115.74	62.917
132.72	52.922
156.71	42.926
177.7	79.93
201.69	120.93
244.68	101.94
292.66	87.943
351.65	105.95
394.64	110.95
490.63	180.96
578.62	196.96
663.6	244.97
753.59	293.97
866.58	350.97
1000.6	313.98
1074.6	460.98
1127.5	475.99
1170.5	491.99
1253.5	421
1351.5	432
1333.5	449
1317.5	427.01
1273.5	403.01
1231.5	421.02
1125.4	438.02
1027.4	345.03
994.42	254.03
788.41	228.04
794.4	269.04
565.39	313.04
524.37	229.05
373.36	232.05
350.35	178.06
247.34	139.06
221.33	99.066
156.31	139.07
144.3	89.075
106.29	41.079
98.279	51.084
72.267	56.088
130.75	70.921
144.74	32.925
161.72	54.93
192.71	76.934
222.7	84.938
245.69	125.94
308.68	140.95
361.66	163.95
441.65	111.96
501.64	91.96
610.63	210.96
724.62	211.97
844.6	213.97
949.59	235.98
1088.6	307.98
1287.6	371.99
1375.6	516.99
1519.5	525
1547.5	533
1660.5	529
1760.5	535.01
1735.5	577.01
1710.5	608.02
1659.5	558.02
1609.5	520.03
1466.4	496.03
1335.4	464.03
1280.4	396.04
1021.4	335.04
1002.4	339.05
727.39	347.05
666.37	246.06
483.36	234.06
443.35	210.07
306.34	188.07
268.33	78.074
186.31	123.08
178.3	95.083
130.29	70.087
117.28	39.092
85.267	61.096
